accuracy_RFC,F1_RFC,specificity_RFC,ROC_AUC_RFC
0.6067151933005138,0.7199870510160538,0.6169822743937304,0.6108427387939308
0.6126453077831375,0.7256303279608457,0.6128788133597928,0.6127391810935615
0.6083809712766969,0.7215453765278013,0.6163348020584575,0.6115785498387624
0.6096471829889486,0.7227642841276382,0.6152668931418385,0.6119064043884168
0.611069929703797,0.7239380200366935,0.6170715504990624,0.6134826907807137
0.6097877200886761,0.7229486819541141,0.6143839763210117,0.6116354951793882
0.6078863357982438,0.7209780000960824,0.6181426793582456,0.6120095646162174
0.6115127440970973,0.7244133892014939,0.6159059567454845,0.6132788921292244
0.6079745159392494,0.7212151319276856,0.6157293733813192,0.6110921037518414
0.60941517196529,0.7224755081681862,0.6164829343356626,0.6122565414102881
0.6101294181350727,0.7231777480157663,0.615636877333423,0.6123435126949519
0.6103416015993673,0.723319744343057,0.6164188893747267,0.6127847771759152
0.6093027293131456,0.7224349041560911,0.615527563822273,0.6118052212475271
0.6115485672793809,0.7247417376048207,0.6112811543506778,0.6114410626226309
0.6118222175682639,0.724818081479962,0.6139602936353775,0.6126817631627287
