accuracy_MLP,F1_MLP,specificity_MLP,ROC_AUC_MLP
0.7928097248077393,0.762144820417686,0.24588813023422867,0.6600784659385681
0.7923578023910522,0.7633454422901054,0.25092496047875035,0.6615224480628967
0.8001824021339417,0.7624330398381504,0.22475698765579297,0.6604211926460266
0.791533887386322,0.762082282157444,0.2524048972450873,0.6601530909538269
0.7987547516822815,0.763513471130041,0.23208294442603022,0.6617845892906189
0.7974791526794434,0.7628583022783171,0.2334095724998878,0.6609233021736145
0.7925066351890564,0.7620199468030417,0.251353805791723,0.6600229740142822
0.7938196659088135,0.7637253257931798,0.2404981332613766,0.6619650721549988
0.7977257966995239,0.762134333247138,0.23217348895073142,0.6599700450897217
0.8038471341133118,0.762670734440283,0.21492057886177196,0.6609482169151306
0.7988418340682983,0.7635912310280139,0.23139147690942838,0.661929190158844
0.797596275806427,0.7626943243051237,0.2319800881233124,0.6606432795524597
0.7951409816741943,0.761625127508329,0.2416249032993831,0.6594727635383606
0.7962377667427063,0.762750453575606,0.23876593454623224,0.6608858704566956
0.7994518876075745,0.7627038242080895,0.22745810314217815,0.6608551740646362
